name,social_security_number,gender,height,age,blood_type,company,grades,salary,expenditure,car_type
hkd1,990623-2,F,161.9,22,A,A,A,4100,1975,L
hkd10,900303-2,F,169.4,31,A,A,B,4720,2970,m
hkd100,681205-2,F,168.3,55,A,A,B,7280,5905,m
hkd101,931226-2,F,155.3,28,AB,B,B,4060,2935,m
hkd102,920123-1,M,188.6,29,O,B,F,4390,4015,SS
hkd103,910215-2,F,150.2,30,A,B,A,3290,1915,L
hkd104,990623-1,M,176,22,A,B,A,3750,2375,L
hkd105,980717-2,F,163.4,23,B,B,B,3080,1330,m
hkd106,970818-1,M,186.3,24,AB,B,C,3110,2360,m
hkd107,960909-1,M,181.8,25,O,B,B,3230,1480,m
hkd108,951015-1,M,170.1,26,A,B,B,3410,1660,m
hkd109,941105-1,M,177.8,27,O,B,B,3420,1670,m
hkd11,890419-1,M,188.2,32,B,A,B,4820,3070,m
hkd110,931225-2,F,163.2,28,A,B,B,3460,1710,m
hkd111,920122-2,F,156.5,29,O,B,C,4370,3620,m
hkd112,910213-2,F,166.2,30,B,B,D,3260,2510,S
hkd113,900303-2,F,161.9,31,A,B,D,3540,2790,S
hkd114,890419-2,F,157.5,32,B,B,A,4040,2665,L
hkd115,880509-2,F,158.6,33,AB,B,B,5230,3480,m
hkd116,870618-1,M,173.9,34,O,B,D,4590,3840,S
hkd117,860617-2,F,163,35,A,B,A,4730,3355,L
hkd118,850114-2,F,164.9,36,O,B,A,4950,3575,L
hkd119,840717-2,F,153.7,37,A,B,A,4450,3075,L
hkd12,880509-2,F,170.2,33,AB,A,A,5080,2955,L
hkd120,830808-1,M,183.8,38,O,B,A,5660,4285,L
hkd121,820904-2,F,153.3,39,B,B,B,6060,4310,m
hkd122,811021-1,M,171.9,40,A,B,A,6130,4755,L
hkd123,801116-1,M,184.6,41,B,B,B,6050,4300,m
hkd124,791215-1,M,181.1,42,AB,B,A,6250,4875,L
hkd125,780112-2,F,169.1,43,O,B,A,5710,4335,L
hkd126,770201-1,M,190.4,44,A,B,A,6210,4835,L
hkd127,760325-2,F,163.1,45,O,B,B,6920,5170,m
hkd128,750420-2,F,148.1,46,A,B,B,7000,5250,m
hkd129,740515-1,M,184.4,47,O,B,B,7420,6295,m
hkd13,870618-1,M,180.5,34,O,A,A,4990,2865,L
hkd130,730716-1,M,175.2,48,B,B,B,7000,5875,m
hkd131,720611-2,F,156.6,49,A,B,A,7250,5875,L
hkd132,730706-1,M,181.5,50,B,B,B,7420,6295,m
hkd133,720801-2,F,149.5,51,AB,B,B,7460,6335,m
hkd134,710925-1,M,182.2,52,O,B,C,7250,6500,m
hkd135,701020-1,M,190.6,53,A,B,D,7430,6680,S
hkd136,691111-2,F,164.7,54,O,B,C,6440,5315,m
hkd137,681201-1,M,182.9,55,A,B,B,8460,7335,m
hkd138,910213-2,F,168.8,30,O,B,A,4060,2685,L
hkd139,900303-1,M,172,31,B,B,C,3530,2405,m
hkd14,860617-1,M,176.8,35,A,A,A,5070,2945,L
hkd140,890419-1,M,186.4,32,A,B,A,3680,2305,L
hkd141,880509-1,M,180.9,33,B,B,C,3860,2735,m
hkd142,870618-1,M,181.3,34,AB,B,A,4580,3205,L
hkd143,860617-1,M,181.6,35,O,B,A,4000,2625,L
hkd144,850114-2,F,163.5,36,A,B,A,4920,3545,L
hkd145,840717-2,F,152.9,37,O,B,B,4450,3325,m
hkd146,830808-2,F,161.6,38,A,B,B,5110,3985,m
hkd147,820904-2,F,165.2,39,O,B,A,5390,4015,L
hkd148,811021-2,F,160,40,B,B,A,5440,4065,L
hkd149,801116-1,M,173.3,41,A,B,C,5920,4795,m
hkd15,850114-2,F,151.2,36,O,A,B,5550,3800,m
hkd150,791215-1,M,182.7,42,B,B,A,6420,5045,L
hkd151,780112-1,M,175.8,43,AB,B,A,6130,4755,L
hkd152,770201-1,M,176.8,44,O,B,A,6320,4945,L
hkd153,760325-2,F,149.2,45,A,B,A,5840,4465,L
hkd154,750420-1,M,185.7,46,O,B,F,6310,5810,S
hkd155,740515-1,M,171,47,A,B,C,7330,6205,m
hkd156,730716-2,F,153.2,48,O,B,B,6440,5315,m
hkd157,720611-2,F,162.3,49,B,B,B,6200,5075,m
hkd158,910213-1,M,186.7,30,A,B,B,3980,2855,m
hkd159,900303-1,M,170.1,31,B,B,B,3330,2205,m
hkd16,840717-1,M,187.2,37,A,A,B,5440,3690,m
hkd160,890419-1,M,166.1,32,AB,B,B,3600,2475,m
hkd161,880509-2,F,150.9,33,O,B,A,3820,2445,L
hkd162,870618-2,F,164.4,34,A,B,F,4770,4270,S
hkd163,860617-1,M,166.2,35,O,B,C,4960,3835,m
hkd164,850114-1,M,185.6,36,A,B,B,4850,3725,m
hkd165,840717-1,M,180.1,37,O,B,B,4390,3265,m
hkd166,830808-2,F,162.6,38,B,B,B,5010,3885,m
hkd167,820904-1,M,166.7,39,A,B,B,5480,4355,m
hkd168,811021-1,M,187.1,40,B,B,C,6010,4885,m
hkd169,801116-2,F,155.4,41,AB,B,B,5830,4705,m
hkd17,830808-2,F,154,38,O,A,C,4720,3970,m
hkd170,791215-1,M,181.4,42,O,B,B,6300,5175,m
hkd171,780112-1,M,168.7,43,A,B,B,6110,4985,m
hkd172,770201-1,M,170.3,44,O,B,B,6730,5355,m
hkd173,760325-1,M,177,45,A,B,B,6660,5285,m
hkd174,750420-1,M,166.5,46,O,B,D,7250,6500,S
hkd175,740515-2,F,151.3,47,B,B,B,6750,5375,m
hkd176,730716-2,F,163.5,48,A,B,B,5420,4045,m
hkd177,720611-2,F,149.2,49,B,B,A,6170,4795,L
hkd178,860617-1,M,179.3,35,AB,B,A,4800,3425,L
hkd179,850114-1,M,166.8,36,O,B,B,5160,3785,m
hkd18,820904-1,M,186.7,39,B,A,C,5770,5020,m
hkd180,840717-1,M,185.7,37,A,B,B,6130,4755,m
hkd181,830808-2,F,149.2,38,O,B,A,5010,3635,L
hkd182,820904-1,M,178.5,39,A,B,B,5380,4005,m
hkd183,811021-2,F,152,40,O,B,A,5410,4035,L
hkd184,801116-2,F,163.2,41,B,B,C,5790,4665,m
hkd185,791215-1,M,166.2,42,A,B,C,6300,5175,m
hkd186,780112-2,F,155.7,43,B,B,B,6620,5245,m
hkd187,770201-2,F,158.8,44,AB,B,A,5510,4135,L
hkd188,860617-2,F,164.1,35,O,B,B,4710,3335,m
hkd189,850114-2,F,156.8,36,A,B,A,4770,3395,L
hkd19,811021-1,M,187.9,40,A,A,A,6090,3965,L
hkd190,840717-2,F,168.4,37,O,B,B,4800,3425,m
hkd191,830808-1,M,177.4,38,A,B,A,5260,3885,L
hkd192,820904-2,F,170,39,O,B,B,5300,3925,m
hkd193,811021-1,M,165.3,40,B,B,A,5730,4355,L
hkd194,801116-1,M,189.7,41,A,B,F,5760,5260,S
hkd195,791215-2,F,158.1,42,B,B,A,6280,4905,L
hkd196,780112-1,M,184.2,43,AB,B,C,6420,5295,m
hkd197,770201-2,F,152.7,44,O,B,B,6060,4685,m
hkd198,830808-1,M,188.1,38,A,B,B,4500,3125,m
hkd199,820904-2,F,167.2,39,O,B,A,5160,3785,L
hkd2,980717-2,F,151.6,23,B,A,B,4120,2745,m
hkd20,801116-1,M,191.4,41,B,A,C,6210,5460,m
hkd200,811021-1,M,187.1,40,A,B,B,5750,4375,m
hkd201,880511-1,M,189.8,33,O,C,B,10390,8640,m
hkd202,870620-2,F,149.1,34,A,C,D,7680,6930,S
hkd203,860619-1,M,165.7,35,B,C,C,8750,7625,m
hkd204,850116-2,F,148.4,36,AB,C,A,9170,7045,L
hkd205,990624-2,F,160.3,22,A,C,A,5040,2915,L
hkd206,980718-1,M,165.5,23,B,C,B,5710,3960,m
hkd207,970819-2,F,160.6,24,AB,C,A,5280,3155,L
hkd208,960910-2,F,165.8,25,O,C,B,5710,3960,m
hkd209,951016-2,F,167.8,26,A,C,B,5740,3990,m
hkd21,791215-1,M,170.4,42,AB,A,B,6610,4860,m
hkd210,941106-2,F,164.3,27,O,C,B,5950,4200,m
hkd211,931227-1,M,175.5,28,A,C,C,6380,5630,m
hkd212,920124-2,F,158.3,29,O,C,C,6520,5770,m
hkd213,910216-2,F,158.3,30,B,C,C,7520,6770,m
hkd214,900305-1,M,179,31,A,C,A,6930,4805,L
hkd215,890421-2,F,148.8,32,B,C,B,8360,6610,m
hkd216,880512-1,M,183.4,33,AB,C,B,8530,6780,m
hkd217,870621-1,M,186.8,34,O,C,A,7670,5545,L
hkd218,860620-1,M,172.5,35,A,C,B,8570,6820,m
hkd219,850117-2,F,150,36,O,C,B,9030,7280,m
hkd22,780112-1,M,183.4,43,O,A,A,6610,4485,L
hkd220,840719-1,M,187.3,37,A,C,B,11180,9430,m
hkd221,830811-1,M,191,38,O,C,A,9800,7675,L
hkd222,820907-2,F,154.4,39,B,C,D,9830,9080,S
hkd223,990625-1,M,169.3,22,A,C,B,4970,3220,m
hkd224,980719-2,F,153.4,23,B,C,A,5190,3065,L
hkd225,970820-1,M,168.4,24,AB,C,B,5210,3460,m
hkd226,960911-1,M,172.4,25,O,C,B,5550,4425,m
hkd227,951017-1,M,165.2,26,A,C,A,5710,3585,L
hkd228,941107-1,M,177.2,27,O,C,A,5810,3685,L
hkd229,931228-1,M,177.6,28,A,C,D,6070,5320,S
hkd23,770201-1,M,182.5,44,A,A,A,7120,4995,L
hkd230,920125-1,M,176.7,29,O,C,A,6430,4305,L
hkd231,910217-2,F,159.6,30,B,C,B,7430,6305,m
hkd232,900306-2,F,159.7,31,A,C,B,6900,5775,m
hkd233,890422-1,M,173.5,32,B,C,B,7320,6195,m
hkd234,880513-2,F,150.7,33,AB,C,B,8450,7325,m
hkd235,870622-2,F,153.5,34,O,C,A,10800,8675,L
hkd236,860621-1,M,166.2,35,A,C,B,10410,9285,m
hkd237,850118-2,F,160.7,36,O,C,B,10480,9355,m
hkd238,840720-2,F,156.8,37,A,C,B,9380,8255,m
hkd239,830812-2,F,163.5,38,O,C,A,9430,7305,L
hkd24,760325-1,M,177.1,45,O,A,B,7300,5550,m
hkd240,820908-2,F,155.6,39,B,C,A,11440,9315,L
hkd241,811025-1,M,184.6,40,A,C,B,11120,9995,m
hkd242,801120-1,M,180.9,41,B,C,A,11720,9595,L
hkd243,791219-1,M,184.5,42,AB,C,A,11080,8955,L
